company_names,about,jobs,location,salaries,reviews,interviews,ratings
Afcons Infrastructure,Engineering & Construction,29,Mumbai,8.5k,3k,266,4.2
Future Group,Retail,--,Mumbai,6.7k,3k,84,4.2
Torrent Pharmaceuticals,Pharma,30,Ahmedabad,10.3k,3k,170,4.0
Ola Electric Mobility,Automobile,--,Bengaluru,9.5k,3k,305,3.3
IDFC FIRST Bharat,Financial Services,7,Chennai,5k,3k,151,4.2
Square Yards,Internet,58,Gurugram,9.3k,3k,229,3.6
ESAF Small Finance Bank,Banking,38,Thrissur,7.5k,3k,168,3.6
HDFC Sales,Financial Services,9,Mumbai,8.3k,3k,192,3.9
CMS IT Services,IT Services & Consulting,28,Mumbai,9.4k,3k,159,3.1
Zensar Technologies,IT Services & Consulting,48,Pune,25.6k,3k,278,3.7
I Process Services,Recruitment,--,Mumbai,5.4k,2.9k,134,3.8
ACC,Building Material,--,Mumbai,9k,2.9k,234,3.9
DS Group,FMCG,42,Noida,7.6k,2.9k,219,4.1
Suzlon Group,Power,20,Pune,7.9k,2.9k,177,4.0
Tata Elxsi,IT Services & Consulting,41,Bengaluru,23.1k,2.9k,341,3.5
Eternal Limited,Internet,9,Gurugram,14.6k,2.9k,362,3.6
Bharat Financial Inclusion,Financial Services,3,Hyderabad,5.1k,2.9k,125,3.7
VVDN Technologies,IT Services & Consulting,12,Gurugram,13.7k,2.9k,259,3.6
VVDN Technologies,IT Services & Consulting,12,Gurugram,13.7k,2.9k,259,3.6
Indus Towers,Telecom,45,Gurugram,9.1k,2.9k,226,3.6
Shoppers Stop,Retail,51,Mumbai,6.9k,2.9k,144,4.0
Nokia,Telecom,179,Bengaluru,16.5k,2.9k,322,4.0
Apollo Tyres,Auto Components,--,Chennai,9.9k,2.9k,152,4.0
Yazaki,Auto Components,1,Pune,9k,2.9k,183,3.9
IKS Health,Healthcare,27,Mumbai,11.3k,2.9k,265,3.6
Shree Cement,Building Material,6,Beawar,9.7k,2.8k,224,3.8
Fiserv,FinTech,13,Pune,17.7k,2.8k,194,2.9
Britannia,FMCG,13,Pune,8.4k,2.8k,231,4.0
UnitedHealth,Healthcare,--,Hyderabad,14.2k,2.8k,84,4.0
Zepto,Internet,38,Bengaluru,9.4k,2.8k,448,3.5
Landmark Group,Retail,8,Bengaluru,9.4k,2.8k,176,3.8
SRF,Chemicals,12,Bharuch,8.9k,2.8k,209,4.1
Tata Electronics,Semiconductors,89,Hosur,11.4k,2.8k,260,3.9
Dalmia Bharat Cement,Building Material,2,Guwahati,4.8k,2.8k,201,3.9
Kansai Nerolac Paints,Chemicals,69,Mumbai,7.7k,2.7k,192,3.8
Blue Dart Express Ltd,Logistics,23,Mumbai,6.9k,2.7k,129,3.9
Exide Industries,Auto Components,74,Kolkata,8.7k,2.7k,215,3.4
Nestlé,FMCG,15,Gurugram,9.9k,2.7k,285,3.8
Shell,Oil & Gas,74,Bengaluru,14.1k,2.7k,237,3.9
Whitehat jr,EdTech,--,Mumbai,9.4k,2.7k,265,3.3
KPMG Global Services,Management Consulting,20,Bengaluru,24.1k,2.7k,258,3.5
ZS,Management Consulting,260,Pune,20.4k,2.7k,525,3.1
Flex,Electronics Manufacturing,66,Chennai,15.8k,2.7k,213,3.9
Micro Labs,Pharma,20,Bengaluru,9.8k,2.7k,152,3.6
Star Health & Allied Insurance,Insurance,19,Chennai,10.2k,2.7k,156,3.5
TVS Supply Chain Solutions,Logistics,15,Chennai,8.5k,2.7k,158,3.8
